6.69e-03,9.91e-01,9.88e-01,9.89e-01,9.89e-01,9.89e-01,9.90e-01,9.93e-01,9.93e-01,9.91e-01,9.39e-01,9.89e-01,9.28e-01,9.68e-01,9.91e-01,9.26e-01,9.90e-01,9.84e-01,9.90e-01,9.87e-01,9.86e-01,9.87e-01,9.86e-01,9.86e-01,9.91e-01,9.92e-01,9.90e-01,9.91e-01,9.88e-01,9.93e-01
9.91e-01,6.69e-03,9.89e-01,9.88e-01,9.87e-01,9.88e-01,9.89e-01,9.91e-01,9.92e-01,9.87e-01,9.85e-01,9.89e-01,9.93e-01,9.92e-01,9.91e-01,9.93e-01,9.88e-01,9.92e-01,9.93e-01,9.75e-01,9.90e-01,9.80e-01,9.74e-01,9.77e-01,9.84e-01,9.89e-01,9.87e-01,9.83e-01,9.92e-01,9.80e-01
9.88e-01,9.89e-01,6.69e-03,5.36e-01,3.33e-02,4.10e-01,8.79e-02,9.93e-01,9.93e-01,9.93e-01,9.86e-01,9.78e-01,9.87e-01,9.88e-01,9.84e-01,9.92e-01,9.92e-01,9.91e-01,9.82e-01,9.84e-01,9.71e-01,9.70e-01,9.80e-01,9.84e-01,9.86e-01,9.75e-01,9.86e-01,9.87e-01,9.85e-01,9.86e-01
9.89e-01,9.88e-01,5.36e-01,6.69e-03,1.29e-01,8.36e-01,6.16e-01,9.90e-01,9.93e-01,9.89e-01,9.90e-01,9.87e-01,9.93e-01,9.91e-01,9.91e-01,9.92e-01,9.91e-01,9.91e-01,9.90e-01,9.78e-01,9.78e-01,9.83e-01,9.86e-01,9.80e-01,9.83e-01,9.75e-01,9.86e-01,9.87e-01,9.87e-01,9.88e-01
9.89e-01,9.87e-01,3.33e-02,1.29e-01,6.69e-03,4.74e-01,1.14e-01,9.90e-01,9.93e-01,9.88e-01,9.90e-01,9.82e-01,9.89e-01,9.86e-01,9.86e-01,9.92e-01,9.91e-01,9.91e-01,9.85e-01,9.88e-01,9.77e-01,9.82e-01,9.86e-01,9.78e-01,9.82e-01,9.76e-01,9.86e-01,9.86e-01,9.87e-01,9.88e-01
9.89e-01,9.88e-01,4.10e-01,8.36e-01,4.74e-01,6.69e-03,1.13e-01,9.93e-01,9.87e-01,9.89e-01,9.73e-01,9.83e-01,9.91e-01,9.87e-01,9.87e-01,9.90e-01,9.91e-01,9.91e-01,9.89e-01,9.90e-01,9.82e-01,9.89e-01,9.91e-01,9.89e-01,9.79e-01,9.81e-01,9.87e-01,9.88e-01,9.89e-01,9.88e-01
9.90e-01,9.89e-01,8.79e-02,6.16e-01,1.14e-01,1.13e-01,6.69e-03,9.93e-01,9.93e-01,9.93e-01,9.82e-01,9.82e-01,9.90e-01,9.86e-01,9.88e-01,9.88e-01,9.90e-01,9.91e-01,9.87e-01,9.91e-01,9.76e-01,9.88e-01,9.92e-01,9.88e-01,9.77e-01,9.83e-01,9.87e-01,9.88e-01,9.88e-01,9.85e-01
9.93e-01,9.91e-01,9.93e-01,9.90e-01,9.90e-01,9.93e-01,9.93e-01,6.69e-03,7.31e-01,2.45e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.92e-01,9.93e-01,9.93e-01,9.90e-01,9.93e-01,9.91e-01,9.89e-01,9.89e-01,9.90e-01,9.92e-01,9.92e-01,9.92e-01,9.93e-01,9.93e-01
9.93e-01,9.92e-01,9.93e-01,9.93e-01,9.93e-01,9.87e-01,9.93e-01,7.31e-01,6.69e-03,6.87e-01,9.90e-01,9.72e-01,9.89e-01,9.92e-01,9.92e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.92e-01,9.93e-01,9.93e-01,9.93e-01,9.93e-01,9.83e-01,9.91e-01,9.92e-01,9.91e-01,9.93e-01,9.93e-01
9.91e-01,9.87e-01,9.93e-01,9.89e-01,9.88e-01,9.89e-01,9.93e-01,2.45e-01,6.87e-01,6.69e-03,9.80e-01,9.93e-01,9.86e-01,9.87e-01,9.93e-01,9.87e-01,9.86e-01,9.92e-01,9.93e-01,9.80e-01,9.92e-01,9.65e-01,9.73e-01,9.74e-01,9.66e-01,9.91e-01,9.91e-01,9.85e-01,9.92e-01,9.87e-01
